Year,Acura,Alfa-Romeo,Aston-Martin,Audi,Bentley,BMW,Buick,Cadillac,Chevrolet,Chrysler,Daewoo,Daihatsu,Dodge,Ferrari,Fiat,Ford,Genesis,GMC,Honda,Hummer,Hyundai,Infiniti,Isuzu,Jaguar,Jeep,Kia,Lamborghini,Lancia,Land-rover,Lexus,Lincoln,Lotus,Maserati,Maybach,Mazda,Mclaren,Mercedes-Benz,Mercury,MG,Mini,Mitsubishi,Oldsmobile,Peugeot,Plymouth,Pontiac,Range-Rover,Ram,Rolls-Royce,Saab,Saturn,Scion,Smart,Sterling,Subaru,Suzuki,Tesla,Toyota,Triumph,Volkswagen,Volvo,Yugo
1948,,,,,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,,,,,,,,,,,,,,,,,,,,,,912.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,
1951,,,,,,,,,,,,,,,,,,,,,,,,1702.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,3349.0,,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,,,,,,
1953,,,,,,,,,,,,,,,,,,,,,,,,3914.0,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,,,
1954,,,,,,,,,,,,,,,,,,,,,,,,3365.0,,,,,,,,,,,,,635.0,,,,,,,,,,,,,,,,,,,,,,,,
1955,,,,,,,,,,,,,,,,,,,,,,,,3573.0,,,,,,,,,,,,,2041.0,,,,,,,,,,,,,,,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,3685.0,,,,,,,,,,,,,3100.0,,,,,,,,,,,,,,,,,,,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,3800.0,,,,,,,,,,,,,6040.0,,,,,,,,,,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,4607.0,,,,,,,,,,,,,7405.0,,,,,,6867.0,,,,,,,,,,,,,,,16245.0,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,5839.0,,,,,,,,,,,,,1207.0,,,,,,15787.0,,,,,,,,,,,,,,,22922.0,,18467.0,
1960,,,,,,,,,,,,,,,,,,,,,,,,4934.0,,,,,,,,,,,,,12255.0,,,,,,11373.0,,,,,,,,,,,,,,,17720.0,,13925.0,
1961,,,,,,,,,,,,,,,,,,,,,,,,3422.0,,,,,,,,,,,,,12625.0,,,,,,3229.0,,,,,,,,,,,,,,,11683.0,,12788.0,
1962,,,,,,,,,,,,,,,,,,,,,,,,6716.0,,,,,,,,,,,,,12945.0,,,,,,4720.0,,,,,,,,,,,,,,,15967.0,,13158.0,
1963,,,,,,,,,,,,,,,,,,,,,,,,4421.0,,,,,,,,,,,,,11689.0,,,,,,2446.0,,,,,,,,,,,,,,,20117.0,277791.0,14187.0,
1964,,,,,,,,,,,,,,,,,,,,,,,,4018.0,,,,,,,,,,,,,11866.0,,,,,,2692.0,,,,,,,,,,,,,,,21214.0,344632.0,17325.0,
1965,,,,,,,,,,,,,,,,,,,,,,,,3993.0,,,,,,,,,,,,,12115.0,,,,,,2541.0,,,,,,,,,,,,,,,20347.0,327639.0,18116.0,
1966,,,,,,,,,,,,,,,,,,,,,,,,4635.0,,,,,,,,,,,,,16161.0,,,,,,3199.0,,,,,,6947.0,,,,,,,,,17184.0,378572.0,25154.0,
1967,,,,,,,,,,,,,,,,,,,,,,,,5839.0,,,,,,,,,,,,,20692.0,,,,,,3953.0,,,,,,10529.0,,,,,,,,,15806.0,412079.0,34397.0,
1968,,,,,,,,,,,,,,,,,,,,,,,,5179.0,,,,,,,,,,,,,24552.0,,,,,,4595.0,,,,,,10871.0,,,,,332.0,,,,18600.0,568607.0,38827.0,
1969,,,,,,,,,,,,,,,,,,,,,,,,5700.0,,,,,,,,,,,,,26192.0,,,,,,4621.0,,,,,,10898.0,,,,,2407.0,,,,17112.0,533341.0,36145.0,
1970,,,,7691.0,,14574.0,,,,,,,,,,,,,4084.0,,,,,6732.0,,,,,,,,,,,2042.0,,29108.0,,,,,,5105.0,,,,,,11123.0,,,,,5590.0,,,,14561.0,574823.0,44513.0,
